ObjectID,GlobalID,Station,Crewmembers,Other Cremembers,Date,Arrival Time,Recovery Stop Time,Deployment Start Time,Departure Time,Recovered Sonde ID,Recovered Other SondeID,Deployed Sonde ID,Deployed Other SondeID,Verification Sonde ID,Verification Other SondeID,Is there a buoy?,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Recovery Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Is there a buoy?,Deployed Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Verification Check Time,Temperature,DO,SpC,pH,Turbidity,PC,Chl,fDOM,Notes,CreationDate,Creator,EditDate,Editor,x,y
11,5a0d8c64-7e95-4aa1-8831-cbd97a294599,FLYW_Bifurcation,"DMC,SH,other",GP,7/7/2022 7:00:00 PM,10:29,11:14,11:16,11:37,19C101554,,19C101551,,18D101027,,arrival_yes,10:44,23.093,8.51,176.5,,7.42,0.104,0.258,9.682,10:42,23.069,8.5,191.1,,13.47,0.117,0.327,7.906,10:48,23.314,8.52,177.5,,11.03,0.126,0.335,9.525,10:50,23.4,8.41,192.6,,13.14,0.094,0.367,7.918,11:12,23.299,8.47,178.7,,7.87,0.026,0.3,7.652,11:09,23.309,8.53,176.3,,8.65,0.086,0.263,9.563,departure_yes,11:17,23.17,8.6,176.5,,10.03,0.005,0.336,7.678,,23.342,8.63,176.2,,7.8,0.082,0.285,9.576,Verification sonde was calibrated for SPC with 12890 uS/cm standard,7/3/2023 8:27:21 PM,cdfw_frpmt,7/3/2023 8:27:21 PM,cdfw_frpmt,0,0
12,2ef9e762-e909-47f3-8075-172f09ccc161,DECK_Interior,"DMC,SH,other",GP,7/7/2022 7:00:00 PM,08:29,09:05,09:08,09:32,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,08:42,19.835,5.76,901,,17.01,0.428,0.668,8.251,08:40,19.902,5.88,930,,15.2,0.324,0.458,9.704,09:04,20.458,6.89,950,,14.32,0.358,0.511,6.625,09:02,20.458,6.83,946,,13.28,0.336,0.436,7.757,departure_no,,,,,,,,,,,,,,,,,,,Deployed sonde battery: 76.9%,7/3/2023 8:38:58 PM,cdfw_frpmt,7/3/2023 8:38:58 PM,cdfw_frpmt,0,0
13,eb0151cc-a916-4537-81e4-51279bf40bc6,FLYW_Bifurcation,"DMC,other",GP;BA (Brian Armstrong),8/4/2022 7:00:00 PM,10:20,10:33,11:01,11:10,19C101551,,19C101554,,18D101027,,arrival_yes,10:33,24.56,8.28,165.6,,9.19,,0.371,7.83,10:38,24.67,8.26,164.1,,8.98,0.184,0.32,9.86,10:42,24.84,8.21,166.7,,7.38,,0.372,7.89,10:40,24.73,8.31,165.6,,6.96,0.211,0.328,9.96,10:57,24.37,8.16,164.8,,8.22,,0.353,7.79,10:55,24.55,8.17,163.8,,7.81,0.172,0.333,9.87,departure_yes,11:01,24.67,8.27,163.8,,9.13,0.051,0.341,8.17,11:04,24.59,8.1,163.5,,7.84,0.19,0.268,9.81,"water used for calibration of PC of recovered sonde likely contaminated; PC values were -0.03, -0.01, and -0.012",7/3/2023 8:50:30 PM,cdfw_frpmt,7/3/2023 8:50:30 PM,cdfw_frpmt,0,0
14,f77dfaed-84ca-43b7-8e22-ad3b3a90c8a0,DECK_Interior,"DMC,other",GP; BA,8/4/2022 7:00:00 PM,08:26,09:17,09:22,09:30,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,08:47,22.21,6.67,1054,,11.79,0.41,1.31,5.71,08:44,22.35,6.77,1072,,10.62,0.485,0.93,6.76,09:16,22.32,6.9,1111,,7.24,0.3,0.659,5.83,09:14,22.33,6.85,1110,,7.02,0.333,0.391,6.95,departure_no,,,,,,,,,,,,,,,,,,,Lots of Tule rack and Ludwigia on installation cable,7/3/2023 8:56:17 PM,cdfw_frpmt,7/3/2023 8:56:17 PM,cdfw_frpmt,0,0
15,3860b1de-f384-490a-8e45-6debfe30f667,FLYW_Bifurcation,"DMC,other",GP,9/22/2022 7:00:00 PM,13:59,14:14,15:03,15:07,19C101554,,19C101551,,18D101027,,arrival_yes,14:20,21.963,6.92,219.3,,31.03,0.315,0.688,6.147,14:21,22.092,7.16,209,,24.38,0.287,0.648,10.253,14:29,22.482,6.97,224.6,,21.45,0.377,0.694,6.986,14:29,22.556,7.08,215.1,,23.45,0.26,0.606,10.242,14:49,21.747,6.74,202.6,,20.5,0.397,0.68,7.785,14:50,21.842,6.76,202.7,,21.56,0.222,0.556,10.421,departure_yes,14:59,21.628,6.74,202.2,,17.7,0.227,0.787,8.499,15:00,21.748,6.77,201.4,,18.33,0.261,0.562,10.744,,7/3/2023 9:06:58 PM,cdfw_frpmt,7/3/2023 9:06:58 PM,cdfw_frpmt,0,0
16,a03dec68-6c8b-4ccf-8973-796bddaabd90,DECK_Interior,"DMC,other",GP,9/22/2022 7:00:00 PM,12:20,12:24,13:03,13:16,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,12:26,19.518,5.44,3125,,9.2,0.487,0.921,16.567,12:27,19.694,5.64,3178,,7.58,0.26,0.485,19.824,12:55,21.517,8.24,3082,,6.38,0.299,0.444,10.456,12:56,21.388,8.49,3100,,5.26,0.191,0.435,12.586,departure_no,,,,,,,,,,,,,,,,,,,pH sensor on verification sonde was not calibrated,7/3/2023 9:12:40 PM,cdfw_frpmt,7/3/2023 9:12:40 PM,cdfw_frpmt,0,0
17,fe42cea7-d4e1-4fc5-8c4f-83cdd528279b,FLYW_Bifurcation,"DMC,SH",,10/24/2022 7:00:00 PM,12:29,12:45,13:18,13:28,19C101551,,19C101554,,18D101027,,arrival_yes,12:48,16.032,10.97,244.5,,26.78,0.472,1.441,6.525,12:51,16.17,10.85,239.9,8.3,10.64,0.523,0.276,9.031,12:58,16.284,10.73,239.4,,10.72,0.305,0.53,6.841,12:56,16.294,10.74,238.4,8.27,10.24,0.532,0.293,9.02,13:12,16.422,10.32,230.3,,7.94,0.269,0.503,6.776,13:10,16.458,10.36,230.4,8.15,7.9,0.515,0.333,8.893,departure_yes,13:15,16.782,10.3,231.1,,40.03,0.681,0.803,6.429,,16.666,10.17,223.7,8.12,6.72,0.52,0.25,8.756,Verification and outgoing sonde ewre calibrated with new DI water system,7/3/2023 9:24:07 PM,cdfw_frpmt,7/3/2023 9:24:07 PM,cdfw_frpmt,0,0
18,27533325-87aa-4c44-8070-d44115260025,DECK_Interior,"DMC,SH",,10/24/2022 7:00:00 PM,14:14,14:26,15:05,15:17,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,14:27,18.749,9.32,3015,,11.2,0.258,0.663,5.145,14:24,18.913,9.3,3018,7.71,11.73,0.516,0.353,6.156,14:53,18.868,9.45,3021,,8.63,0.278,0.727,5.194,14:56,18.89,9.55,3014,7.81,8.42,0.457,0.342,6.254,departure_no,,,,,,,,,,,,,,,,,,,used DI water from new purification system for the calibration of verification and outgoing sondes,7/3/2023 9:35:28 PM,cdfw_frpmt,7/3/2023 9:35:28 PM,cdfw_frpmt,0,0
19,3281a71e-5731-47ef-88fa-063ad74be7f1,FLYW_Bifurcation,"SH,other",GP,12/12/2022 7:00:00 PM,09:22,09:32,09:58,10:15,19C101554,,19C101551,,18D101365,,arrival_yes,09:30,9.516,9.31,436.4,,5.82,0.91,0.911,13.373,09:35,9.576,9.48,435.6,,4.56,0.266,0.738,13.971,09:39,9.476,9.39,435.2,,8.48,0.953,0.953,13.245,21:41,9.521,9.47,437,,6.72,0.278,0.79,13.896,21:53,9.527,9.49,430.1,,4.92,0.958,0.95,13.371,09:54,9.555,9.47,430.8,,4.77,0.346,0.66,13.964,departure_yes,10:00,9.549,9.54,431.6,,4.32,0.289,0.955,12.546,10:10,9.638,9.42,436.6,,4.45,0.275,0.668,14.051,No Departure Time recorded (estimated 10:15),7/3/2023 9:46:34 PM,cdfw_frpmt,7/3/2023 9:46:34 PM,cdfw_frpmt,0,0
20,7f98f46d-5ec3-4742-8201-faa645c97ad2,DECK_Interior,"DMC,ED,other",AC; GP,12/15/2022 7:00:00 PM,10:57,11:01,11:33,11:50,19C101553,,19C101552,,18D101365,,arrival_no,,,,,,,,,,,,,,,,,,,11:05,9.327,10.05,426.6,,7.56,0.887,0.411,12.213,11:06,9.318,10.15,426.7,7.5,6.72,0.28,0.375,12.5,11:28,9.267,10.44,433.2,,8.34,0.88,0.325,12.161,11:28,9.244,10.23,431.4,7.43,7.65,0.236,0.35,12.464,departure_no,,,,,,,,,,,,,,,,,,,Arrival time also said (10:00) - likely a fish sample took place,7/3/2023 9:53:31 PM,cdfw_frpmt,7/3/2023 9:53:31 PM,cdfw_frpmt,0,0
21,64104d1e-ba23-4e0b-837d-daba506d36d2,FLYW_Bifurcation,"DMC,other",GP,2/6/2023 7:00:00 PM,09:25,10:22,11:04,11:15,19C101551,,19C101554,,18D101027,,arrival_yes,10:23,7.546,7.55,622,,34.99,0.638,2.211,21.226,10:32,7.78,7.57,611,7.53,34.33,0.911,2.033,25.486,10:37,8.305,7.89,591,,35.69,0.767,3.713,19.531,10:35,8.377,7.84,588,7.54,34.84,1.366,4.04,25.288,10:57,8,7.54,634,,35.14,0.69,2.451,20.627,10:53,7.973,7.41,632,7.49,33.56,1.81,4.826,26.566,departure_yes,11:01,7.286,6.9,684,,37.08,0.755,1.55,23.642,11:06,7.366,6.85,677,7.46,35.77,0.818,1.534,28.277,,7/3/2023 10:04:12 PM,cdfw_frpmt,7/3/2023 10:04:12 PM,cdfw_frpmt,0,0
22,ffde8600-0530-4186-8d7e-8e6ff4976a79,DECK_Interior,"DMC,other",GP,2/6/2023 7:00:00 PM,12:50,12:57,13:21,13:31,19C101552,,19C101553,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,13:00,9.193,9.67,249.1,,18.76,1.105,0.748,16.887,12:58,9.339,9.97,251.1,7.43,17.27,0.45,0.485,20.35,13:18,9.307,10.17,242.7,,17.04,1.131,0.797,16.003,13:16,9.206,10.4,243.7,7.49,16.97,0.475,0.522,19.414,departure_no,,,,,,,,,,,,,,,,,,,Lots of Tule wrack. Big logs present,7/3/2023 10:10:05 PM,cdfw_frpmt,7/3/2023 10:10:05 PM,cdfw_frpmt,0,0
23,081f9199-703b-4a56-8c27-114897287a76,FLYW_Bifurcation,"DMC,SH",,12/30/2021 7:00:00 PM,08:30,08:44,09:05,09:10,19C101554,,19C101551,,18D101027,,arrival_yes,08:38,6.667,7.95,478,,23.4,0.872,1.635,31.723,08:40,6.737,7.45,477.2,7.2,13.69,0.824,1.278,41.1,08:44,6.688,7.38,476.5,,15.12,0.8,1.532,33.241,08:42,6.689,7.45,468.5,7.22,14.7,0.881,1.247,40.887,09:00,6.676,7.64,475.6,,15.83,0.783,1.555,33.505,08:58,6.689,7.39,468.9,7.13,16.26,0.876,1.31,40.824,departure_yes,09:05,6.914,7.74,469.6,,17.88,0.591,1.611,31.567,09:09,6.831,7.34,469.1,7.12,21.56,0.881,1.287,38.403,sculpin in sensor guard,7/17/2023 4:06:16 PM,cdfw_frpmt,7/17/2023 4:06:16 PM,cdfw_frpmt,0,0
24,69e5234a-ae5d-4990-81cc-69ace442c0b7,DECK_Interior,"DMC,SH",,11/30/2021 7:00:00 PM,11:35,11:58,12:05,12:08,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,11:46,14.014,8.86,2846,,17.8,0.554,0.443,13.116,11:45,13.8,8.94,2824,7.33,15.86,0.54,0.563,15.694,11:58,14.824,8.95,2852,,20.15,0.491,0.601,12.89,12:00,14.787,8.88,2832,7.36,18.53,0.515,0.561,15.567,departure_no,,,,,,,,,,,,,,,,,,,,7/17/2023 4:12:13 PM,cdfw_frpmt,7/17/2023 4:12:13 PM,cdfw_frpmt,0,0
25,982de7a8-3a9c-4e6f-8dbc-72b6a45860ab,FLYW_Bifurcation,"DMC,SH,other",BA,7/20/2023 3:39:55 PM,08:35,08:40,09:15,09:46,19C101551,,19C101554,,18D101365,,arrival_yes,08:41,24.42,7.96,191,,8.76,0.1,0.59,8.45,08:42,24.4,7.78,188,8.23,7.91,0.22,0.42,9.59,08:49,24.13,7.88,191.7,,9.82,0.09,0.47,8.22,08:48,24.23,7.77,188.4,8.26,9.83,0.26,0.47,9.51,09:09,24.26,7.74,192.6,,10.44,0.08,0.51,8.32,09:07,24.32,7.61,190.5,8.07,10.11,0.26,0.82,9.63,departure_yes,09:17,24.46,7.53,190.8,,8.21,0.09,0.4,9.27,09:16,24.46,7.55,190.9,8.03,8.31,0.23,0.41,9.79,"pH not calibrated, crawdad in sensor guard; deployed water level logger mount at sonde and went to back pool of N channel",7/20/2023 6:06:38 PM,cdfw_frpmt,7/20/2023 6:06:38 PM,cdfw_frpmt,-121.643002610767,38.3609506488204
26,9e77c57d-bf8c-4415-8a85-44760c211b52,FLYW_Bifurcation,"DMC,SH",,11/30/2021 7:00:00 PM,09:30,09:36,10:10,10:30,19C101551,,19C101554,,18D101027,,arrival_yes,09:37,12.286,6.75,518,,77.53,0.627,1.997,19,09:43,12.369,6.95,508,7.47,3.88,0.633,0.863,26.053,09:49,12.365,6.97,502,,5.78,0.416,0.833,21.124,09:48,12.368,6.98,507,7.49,5.7,0.746,1.098,25.852,10:04,12.439,7.03,498.6,,8.67,0.524,1.221,20.912,10:03,12.427,6.92,507,7.48,7.03,0.677,1.07,25.571,departure_yes,10:08,12.407,7.22,499.7,,20.36,0.46,1.808,19.336,10:13,12.413,7,491.6,,5.53,0.618,0.81,25.297,,7/21/2023 6:11:53 PM,cdfw_frpmt,7/21/2023 6:12:51 PM,cdfw_frpmt,0,0
27,b4fdd312-1c8d-420b-8ce7-a3e97779a66e,DECK_Interior,"DMC,SH,ED",,10/27/2021 7:00:00 PM,11:14,11:20,11:38,11:46,19C101554,,19C101553,,18D101365,,arrival_no,,,,,,,,,,,,,,,,,,,11:15,16.358,7.68,1268,,5.29,0.441,1.276,6.97,11:13,16.38,8.02,1269,,5.74,0.407,0.408,13.196,11:33,16.963,7.74,1273,,5.73,0.379,0.48,10.08,11:35,16.89,8,1270,,6.53,0.396,0.375,13.085,departure_no,,,,,,,,,,,,,,,,,,,The Recovered Sonde was an accidental deployment where it was deployed at Decker on 211015 immediately after retrieval from Flyway. Arrival and departure times to site are approximate,7/21/2023 6:28:02 PM,cdfw_frpmt,7/21/2023 6:28:02 PM,cdfw_frpmt,0,0
28,167b5b7e-c5fb-4770-8a8d-1bd29deb8ac5,DECK_Interior,"DMC,SH",,10/15/2021 7:00:00 PM,12:30,13:03,13:08,13:15,19C101552,,19C101554,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,,17.583,11.52,3131,,9.48,0.475,0.742,6.14,,17.772,11.54,3119,,9.09,0.325,0.347,7.398,,18.105,11.36,3162,,8.15,0.707,0.907,6.064,,18.033,11.54,3113,,9.6,0.69,0.438,7.362,departure_no,,,,,,,,,,,,,,,,,,,The Deployment Sonde (19C101554) was accidentally reinstalled immediately after recovery from Flyway; Arrival and Departure times are approximate,7/21/2023 6:40:57 PM,cdfw_frpmt,7/21/2023 6:40:57 PM,cdfw_frpmt,0,0
29,cfaa62df-671a-4e74-836e-e7d766182084,FLYW_Bifurcation,"DMC,SH",,10/15/2021 7:00:00 PM,10:00,10:44,12:00,12:10,19C101554,,19C101551,,18D101027,,arrival_yes,,14.835,9.49,266.1,,11.12,0.518,0.537,6.4,,15.026,9.44,259.4,,10.08,0.463,0.464,7.419,11:15,15.417,9.43,263,,8.55,0.474,0.513,6.453,11:13,15.411,9.45,260.1,,11.23,0.471,0.36,8.105,,,,,,,,,,,,,,,,,,,departure_yes,,15.35,9.45,259.8,,10.74,0.321,0.525,6.854,,15.394,9.42,259.8,,13.97,0.485,0.436,7.475,"Recovered Sonde (19C101554) was accidentally reinstalled at Decker following this retrieval. Arrival, Departure, Start and Stop times are approximate",7/21/2023 7:00:04 PM,cdfw_frpmt,7/21/2023 7:00:04 PM,cdfw_frpmt,0,0
30,b4e7b846-c7d9-47cd-8275-a8a2b5debea0,DECK_Interior,"DMC,SH",,9/10/2021 7:00:00 PM,07:00,07:29,07:30,08:01,19C101553,,19C101552,,18D101027,,arrival_no,,,,,,,,,,,,,,,,,,,07:26,20.9,6.2,1957,,9.6,0.32,0.634,6.2,,21.4,6.2,2004,,6.3,0.178,0.36,7.8,07:45,20.8,6.9,2018,,8.9,1.34,0.6,6.3,,,,,,,,,,departure_no,,,,,,,,,,,,,,,,,,,No post-cleaning measurement for verification sonde,7/21/2023 7:49:52 PM,cdfw_frpmt,7/21/2023 8:20:16 PM,cdfw_frpmt,0,0
31,61d56e42-1832-437b-868b-cefe6a72c0e9,FLYW_Bifurcation,"DMC,SH",,9/10/2021 7:00:00 PM,08:30,08:47,08:43,09:15,19C101551,,19C101554,,18D101027,,arrival_yes,,,,,,,,,,,,,,,,,,,08:44,22.7,7.74,256.9,,11.16,0.167,0.452,7.86,08:37,22.7,7.8,256.5,,10.2,0.146,0.394,9.35,09:01,22.4,7.78,256.3,,10.2,0.182,0.445,7.951,09:05,22.2,7.74,254.6,,11.5,0.199,0.414,9.331,departure_yes,,,,,,,,,,,,,,,,,,,No buoy measurements,7/21/2023 7:59:25 PM,cdfw_frpmt,7/21/2023 7:59:25 PM,cdfw_frpmt,0,0
32,d1e09bc8-651d-415c-8529-b2436f4e9f3e,DECK_Interior,"DMC,SH",,7/30/2021 7:00:00 PM,10:00,10:21,10:30,10:40,19C101552,,19C101553,,other,19C101553,arrival_no,,,,,,,,,,,,,,,,,,,,21.8,5.9,3273,,6.6,1.8,1.2,8.7,,21.8,5.8,3266,,4.4,0.07,0.4,8.7,,22.3,6.1,3288,,5.8,0.6,1,8.7,,,,,,,,,,departure_no,,,,,,,,,,,,,,,,,,,No post-cleaning measurement for verification sonde; used outgoing sonde as the verification instrument; arrival and departure times are approximate; DO cap and wiper brush need to be replaced,7/21/2023 8:12:36 PM,cdfw_frpmt,7/21/2023 8:20:36 PM,cdfw_frpmt,0,0
