Var_ExportLabel,Var_Name,Var_BuilderLabel
Pressure from handheld,pressure_handheld,Pressure from handheld
Pressure from barometer,pressure_barometer,Pressure from barometer
DO concentration (pre-cal),DO_concentration_pre,DO (pre-cal)
DO concentration (post-cal),DO_concentration_post,DO (post-cal)
DO percent (pre-cal),DO_percent_pre,DO percent (pre-cal)
DO percent (post-cal),DO_percent_post,DO percent (post-cal)
DO gain,DO_gain,DO gain
Temperature during DO calibration,temp_DOcalibration,Temperature during DO calibration
Notes,Notes,Notes
CreationDate,general_notes,Notes
Creator,Creator,Creator
EditDate,EditDate,EditDate
Editor,Editor,Editor
x,x,x
y,y,y
